restaurant;beschreibung;link;nr;kommentare;bewertung;typ;adresse_id
Nagasui;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.nagasui.ch;044 288 28 88;;;asiatisch;1
Tiffins Asian Kitchen;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.tiffins.ch;044 382 18 88;;;asiatisch;2
LY'S ASIA;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.lys-asia.ch;044 999 08 08;;;asiatisch;3
YEN'S;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.yens-restaurant.ch;044 558 89 76;;;asiatisch;4
Restaurant Ach'i;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.achi.restaurant;044 542 88 85;;;asiatisch;5
Lily's;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.lilys.ch;044 440 18 85;;;asiatisch;6
Mesob Restaurant and Bar;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.mesob-restaurant.ch;043 960 02 51;;;afrikanisch;7
Habesha Restaurant;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.habesha-restaurant.ch;044 463 59 24;;;afrikanisch;8
Queen Idia African Restaurant;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.queenidia.ch;044 291 01 50;;;afrikanisch;9
Le Manden;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.lemanden.ch;044 291 69 01;;;afrikanisch;10
Meskerem;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.meskerem-restaurant.ch;044 451 38 27;;;afrikanisch;11
Restaurant Moringa Teff;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.moringa-teff.ch;044 431 80 52;;;afrikanisch;12
The Bite;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.thebite.ch;044 242 30 00;;;amerikanisch;13
Holy Cow! Gourmet Burger Company;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.holycow.ch;021 312 24 04;;;amerikanisch;14
LOFT FIVE;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.loftfive.ch;044 755 50 50 ;;;amerikanisch;15
Brisket Southern BBQ & Bar;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.brisket.ch;044 241 20 20;;;amerikanisch;16
Grain;Lorem ipsum dolor sit amet, consetetur sadipscing elitr.;www.grain.ch;044 261 02 81;;;amerikanisch;17
